?ingredient	?ingLab
<http://purl.obolibrary.org/obo/DRON_00010457>	chloropyramine
<http://purl.obolibrary.org/obo/DRON_00010477>	chromocarb diethylamine
<http://purl.obolibrary.org/obo/DRON_00010480>	cicloxilic acid
<http://purl.obolibrary.org/obo/DRON_00010483>	Cilazapril
<http://purl.obolibrary.org/obo/DRON_00010488>	Cinoxacin
<http://purl.obolibrary.org/obo/DRON_00010490>	ciprofibrate
<http://purl.obolibrary.org/obo/DRON_00010495>	Citrulline
<http://purl.obolibrary.org/obo/DRON_00010507>	clobazam
<http://purl.obolibrary.org/obo/DRON_00010508>	clobenzorex
<http://purl.obolibrary.org/obo/DRON_00010513>	Clofazimine
<http://purl.obolibrary.org/obo/DRON_00010515>	cloprednol
<http://purl.obolibrary.org/obo/DRON_00010518>	clothiapine
<http://purl.obolibrary.org/obo/DRON_00010520>	cloxazolam
<http://purl.obolibrary.org/obo/DRON_00010528>	Corn Oil
<http://purl.obolibrary.org/obo/DRON_00010530>	cortivazol
<http://purl.obolibrary.org/obo/DRON_00010538>	Cyclacillin
<http://purl.obolibrary.org/obo/DRON_00010552>	danaparoid
<http://purl.obolibrary.org/obo/DRON_00010565>	Debrisoquin
<http://purl.obolibrary.org/obo/DRON_00010566>	deflazacort
<http://purl.obolibrary.org/obo/DRON_00010567>	dehydroemetine
<http://purl.obolibrary.org/obo/DRON_00010568>	Delavirdine
<http://purl.obolibrary.org/obo/DRON_00010574>	deserpidine
<http://purl.obolibrary.org/obo/DRON_00010577>	Deslanoside
<http://purl.obolibrary.org/obo/DRON_00010583>	Dexfenfluramine
<http://purl.obolibrary.org/obo/DRON_00010584>	DEXTRAN HM
<http://purl.obolibrary.org/obo/DRON_00010595>	Dextrothyroxine
<http://purl.obolibrary.org/obo/DRON_00010596>	dezocine
<http://purl.obolibrary.org/obo/DRON_00010597>	diacetylrhein
<http://purl.obolibrary.org/obo/DRON_00010600>	Dibekacin
<http://purl.obolibrary.org/obo/DRON_00010601>	Dichlorphenamide
<http://purl.obolibrary.org/obo/DRON_00010604>	Diethylcarbamazine
<http://purl.obolibrary.org/obo/DRON_00010608>	difenoxin
<http://purl.obolibrary.org/obo/DRON_00010616>	Dihydroergotoxine
<http://purl.obolibrary.org/obo/DRON_00010619>	Dihydrotachysterol
<http://purl.obolibrary.org/obo/DRON_00010623>	Dimercaprol
<http://purl.obolibrary.org/obo/DRON_00010625>	Dinoprost
<http://purl.obolibrary.org/obo/DRON_00010632>	diphenidol
<http://purl.obolibrary.org/obo/DRON_00010637>	Diphtheria Antitoxin
<http://purl.obolibrary.org/obo/DRON_00010651>	pramiverine
<http://purl.obolibrary.org/obo/DRON_00010655>	Inosinic Acid
<http://purl.obolibrary.org/obo/DRON_00010680>	ebastine
<http://purl.obolibrary.org/obo/DRON_00010688>	Emepronium
<http://purl.obolibrary.org/obo/DRON_00010691>	Encainide
<http://purl.obolibrary.org/obo/DRON_00010692>	Enoxacin
<http://purl.obolibrary.org/obo/DRON_00010699>	epoetin beta
<http://purl.obolibrary.org/obo/DRON_00010708>	Estramustine
<http://purl.obolibrary.org/obo/DRON_00010713>	Ethamsylate
<http://purl.obolibrary.org/obo/DRON_00010714>	ethanolamine oleate
<http://purl.obolibrary.org/obo/DRON_00010720>	ethinamate
<http://purl.obolibrary.org/obo/DRON_00010723>	profenamine
<http://purl.obolibrary.org/obo/DRON_00010724>	Ethotoin
<http://purl.obolibrary.org/obo/DRON_00010725>	ethyl loflazepate
<http://purl.obolibrary.org/obo/DRON_00010740>	etofamide
<http://purl.obolibrary.org/obo/DRON_00010743>	amidoline
<http://purl.obolibrary.org/obo/DRON_00010744>	Etretinate
<http://purl.obolibrary.org/obo/DRON_00010747>	febuprol
<http://purl.obolibrary.org/obo/DRON_00010749>	felbamate
<http://purl.obolibrary.org/obo/DRON_00010751>	fenbufen
<http://purl.obolibrary.org/obo/DRON_00010752>	Fendiline
<http://purl.obolibrary.org/obo/DRON_00010756>	Fenfluramine
<http://purl.obolibrary.org/obo/DRON_00010760>	fenoxazoline
<http://purl.obolibrary.org/obo/DRON_00010761>	fenticonazole
<http://purl.obolibrary.org/obo/DRON_00010762>	ferric chloride
<http://purl.obolibrary.org/obo/DRON_00010763>	Ferrous Ascorbate
<http://purl.obolibrary.org/obo/DRON_00010783>	feverfew extract
<http://purl.obolibrary.org/obo/DRON_00010787>	floctafenine
<http://purl.obolibrary.org/obo/DRON_00010788>	flosequinan
<http://purl.obolibrary.org/obo/DRON_00010798>	Flunitrazepam
<http://purl.obolibrary.org/obo/DRON_00010801>	Flupenthixol
<http://purl.obolibrary.org/obo/DRON_00010804>	Flurazepam
<http://purl.obolibrary.org/obo/DRON_00010810>	fomivirsen
<http://purl.obolibrary.org/obo/DRON_00010811>	formestane
<http://purl.obolibrary.org/obo/DRON_00010815>	Fosfomycin
<http://purl.obolibrary.org/obo/DRON_00010822>	allyl sulfide
<http://purl.obolibrary.org/obo/DRON_00010825>	Germanium
<http://purl.obolibrary.org/obo/DRON_00010826>	Gestodene
<http://purl.obolibrary.org/obo/DRON_00010827>	Gestonorone Caproate
<http://purl.obolibrary.org/obo/DRON_00010828>	Gestrinone
<http://purl.obolibrary.org/obo/DRON_00010834>	glucametacin
<http://purl.obolibrary.org/obo/DRON_00010837>	Glutethimide
<http://purl.obolibrary.org/obo/DRON_00010845>	grepafloxacin
<http://purl.obolibrary.org/obo/DRON_00010852>	BISMUTH CAMPHOCARBONATE
<http://purl.obolibrary.org/obo/DRON_00010855>	Guanabenz
<http://purl.obolibrary.org/obo/DRON_00010856>	guanadrel
<http://purl.obolibrary.org/obo/DRON_00010861>	halazepam
<http://purl.obolibrary.org/obo/DRON_00010866>	halofantrine
<http://purl.obolibrary.org/obo/DRON_00010870>	Hetastarch
<http://purl.obolibrary.org/obo/DRON_00010895>	p-Hydroxyamphetamine
<http://purl.obolibrary.org/obo/DRON_00010900>	Hymecromone
<http://purl.obolibrary.org/obo/DRON_00010901>	ibutilide
<http://purl.obolibrary.org/obo/DRON_00010909>	Indoramin
<http://purl.obolibrary.org/obo/DRON_00010919>	iron sorbitex
<http://purl.obolibrary.org/obo/DRON_00010923>	Isoflurophate
<http://purl.obolibrary.org/obo/DRON_00010926>	ISOSPAGLUMIC ACID
<http://purl.obolibrary.org/obo/DRON_00010935>	ketazolam
<http://purl.obolibrary.org/obo/DRON_00010944>	lacidipine
<http://purl.obolibrary.org/obo/DRON_00010960>	Methadyl Acetate
<http://purl.obolibrary.org/obo/DRON_00010962>	Levorphanol
<http://purl.obolibrary.org/obo/DRON_00010966>	Lisuride
<http://purl.obolibrary.org/obo/DRON_00010968>	lithium citrate
<http://purl.obolibrary.org/obo/DRON_00010972>	Lobeline
<http://purl.obolibrary.org/obo/DRON_00010974>	Lofepramine
<http://purl.obolibrary.org/obo/DRON_00010975>	lofexidine
<http://purl.obolibrary.org/obo/DRON_00010978>	lomefloxacin
<http://purl.obolibrary.org/obo/DRON_00010979>	Lomustine
<http://purl.obolibrary.org/obo/DRON_00010981>	triazulenone
<http://purl.obolibrary.org/obo/DRON_00010983>	loracarbef
<http://purl.obolibrary.org/obo/DRON_00010986>	lormetazepam
<http://purl.obolibrary.org/obo/DRON_00010988>	Lymecycline
<http://purl.obolibrary.org/obo/DRON_00011010>	Peptones
<http://purl.obolibrary.org/obo/DRON_00011012>	mandelic acid
<http://purl.obolibrary.org/obo/DRON_00011013>	MANGANESE ASPARTATE
<http://purl.obolibrary.org/obo/DRON_00011023>	mebhydroline
<http://purl.obolibrary.org/obo/DRON_00011024>	Mecamylamine
<http://purl.obolibrary.org/obo/DRON_00011047>	meprednisone
<http://purl.obolibrary.org/obo/DRON_00011060>	Mesoridazine
<http://purl.obolibrary.org/obo/DRON_00011061>	Mesterolone
<http://purl.obolibrary.org/obo/DRON_00011062>	Metaraminol
<http://purl.obolibrary.org/obo/DRON_00011063>	metaxalone
<http://purl.obolibrary.org/obo/DRON_00011064>	Metergoline
<http://purl.obolibrary.org/obo/DRON_00011066>	Methandrostenolone
<http://purl.obolibrary.org/obo/DRON_00011067>	methantheline
<http://purl.obolibrary.org/obo/DRON_00011069>	metharbital
<http://purl.obolibrary.org/obo/DRON_00011070>	Methazolamide
<http://purl.obolibrary.org/obo/DRON_00011074>	Methenolone
<http://purl.obolibrary.org/obo/DRON_00011089>	methsuximide
<http://purl.obolibrary.org/obo/DRON_00011096>	Methyprylon
<http://purl.obolibrary.org/obo/DRON_00011099>	Medigoxin
<http://purl.obolibrary.org/obo/DRON_00011108>	Metyrapone
<http://purl.obolibrary.org/obo/DRON_00011109>	Mezlocillin
<http://purl.obolibrary.org/obo/DRON_00011110>	Mianserin
<http://purl.obolibrary.org/obo/DRON_00011111>	Mibefradil
<http://purl.obolibrary.org/obo/DRON_00011113>	miglitol
<http://purl.obolibrary.org/obo/DRON_00011118>	Miocamycin
<http://purl.obolibrary.org/obo/DRON_00011120>	Moclobemide
<http://purl.obolibrary.org/obo/DRON_00011121>	modafinil
<http://purl.obolibrary.org/obo/DRON_00011124>	moexipril
<http://purl.obolibrary.org/obo/DRON_00011125>	molgramostim
<http://purl.obolibrary.org/obo/DRON_00011127>	Molindone
<http://purl.obolibrary.org/obo/DRON_00011132>	moxonidine
<http://purl.obolibrary.org/obo/DRON_00011136>	Muromonab-CD3
<http://purl.obolibrary.org/obo/DRON_00011139>	nabilone
<http://purl.obolibrary.org/obo/DRON_00011167>	Netilmicin
<http://purl.obolibrary.org/obo/DRON_00011177>	Nicorandil
<http://purl.obolibrary.org/obo/DRON_00011181>	Nifuratel
<http://purl.obolibrary.org/obo/DRON_00011183>	nifuroxazide
<http://purl.obolibrary.org/obo/DRON_00011186>	nifurzide
<http://purl.obolibrary.org/obo/DRON_00011188>	Nikethamide
<http://purl.obolibrary.org/obo/DRON_00011189>	nilutamide
<http://purl.obolibrary.org/obo/DRON_00011196>	Nisoldipine
<http://purl.obolibrary.org/obo/DRON_00011209>	Norethynodrel
<http://purl.obolibrary.org/obo/DRON_00011219>	Obidoxime
<http://purl.obolibrary.org/obo/DRON_00011221>	olsalazine
<http://purl.obolibrary.org/obo/DRON_00011226>	orlistat
<http://purl.obolibrary.org/obo/DRON_00011228>	Ornipressin
<http://purl.obolibrary.org/obo/DRON_00011249>	Cyclopenthiazide
<http://purl.obolibrary.org/obo/DRON_00011253>	Oxymetholone
<http://purl.obolibrary.org/obo/DRON_00011259>	Oxyphenonium
<http://purl.obolibrary.org/obo/DRON_00011266>	Bile fluid
<http://purl.obolibrary.org/obo/DRON_00011273>	Paramethasone
<http://purl.obolibrary.org/obo/DRON_00011277>	Pargyline
<http://purl.obolibrary.org/obo/DRON_00011278>	parnaparin
<http://purl.obolibrary.org/obo/DRON_00011280>	pegademase bovine
<http://purl.obolibrary.org/obo/DRON_00011281>	pegaspargase
<http://purl.obolibrary.org/obo/DRON_00011287>	Penfluridol
<http://purl.obolibrary.org/obo/DRON_00011289>	Penicillamine
<http://purl.obolibrary.org/obo/DRON_00011301>	Perhexiline
<http://purl.obolibrary.org/obo/DRON_00011302>	phenacemide
<http://purl.obolibrary.org/obo/DRON_00011307>	phendimetrazine
<http://purl.obolibrary.org/obo/DRON_00011308>	Phenelzine
<http://purl.obolibrary.org/obo/DRON_00011310>	Phenindione
<http://purl.obolibrary.org/obo/DRON_00011327>	thenyldiamine
<http://purl.obolibrary.org/obo/DRON_00011374>	Phosphatidylserines
<http://purl.obolibrary.org/obo/DRON_00011376>	Pimozide
<http://purl.obolibrary.org/obo/DRON_00011378>	pinaverium
<http://purl.obolibrary.org/obo/DRON_00011382>	piperacetazine
<http://purl.obolibrary.org/obo/DRON_00011383>	piperidolate
<http://purl.obolibrary.org/obo/DRON_00011384>	piperonal
<http://purl.obolibrary.org/obo/DRON_00011385>	Pipobroman
<http://purl.obolibrary.org/obo/DRON_00011389>	Piracetam
<http://purl.obolibrary.org/obo/DRON_00011390>	pirenoxine
<http://purl.obolibrary.org/obo/DRON_00011399>	POISON IVY EXTRACT
<http://purl.obolibrary.org/obo/DRON_00011400>	poldine
<http://purl.obolibrary.org/obo/DRON_00011401>	Poloxamer 188
<http://purl.obolibrary.org/obo/DRON_00011418>	Potassium Orotate
<http://purl.obolibrary.org/obo/DRON_00011422>	Prazepam
<http://purl.obolibrary.org/obo/DRON_00011424>	prenylamine lactate
<http://purl.obolibrary.org/obo/DRON_00011431>	Probucol
<http://purl.obolibrary.org/obo/DRON_00011432>	Procarbazine
<http://purl.obolibrary.org/obo/DRON_00011439>	prolintane
<http://purl.obolibrary.org/obo/DRON_00011443>	Promegestone
<http://purl.obolibrary.org/obo/DRON_00011447>	propiomazine
<http://purl.obolibrary.org/obo/DRON_00011451>	Protamine Sulfate (USP)
<http://purl.obolibrary.org/obo/DRON_00011455>	proxyphylline
<http://purl.obolibrary.org/obo/DRON_00011480>	quazepam
<http://purl.obolibrary.org/obo/DRON_00011482>	quinagolide
<http://purl.obolibrary.org/obo/DRON_00011484>	Quinestrol
<http://purl.obolibrary.org/obo/DRON_00011490>	Pirenzepine
<http://purl.obolibrary.org/obo/DRON_00011492>	Remoxipride
<http://purl.obolibrary.org/obo/DRON_00011498>	quinethazone
<http://purl.obolibrary.org/obo/DRON_00011501>	Rifabutin
<http://purl.obolibrary.org/obo/DRON_00011504>	rifapentine
<http://purl.obolibrary.org/obo/DRON_00011505>	Riluzole
<http://purl.obolibrary.org/obo/DRON_00011511>	rosoxacin
<http://purl.obolibrary.org/obo/DRON_00011513>	Roxithromycin
<http://purl.obolibrary.org/obo/DRON_00011515>	Sacrosidase
<http://purl.obolibrary.org/obo/DRON_00011523>	Schizandra preparation
<http://purl.obolibrary.org/obo/DRON_00011531>	Secretin
<http://purl.obolibrary.org/obo/DRON_00011543>	Sermorelin
<http://purl.obolibrary.org/obo/DRON_00011544>	serratiopeptidase
<http://purl.obolibrary.org/obo/DRON_00011545>	sertindole
<http://purl.obolibrary.org/obo/DRON_00011547>	sibutramine
<http://purl.obolibrary.org/obo/DRON_00011553>	citiolone
<http://purl.obolibrary.org/obo/DRON_00011563>	bismuth carbonate
<http://purl.obolibrary.org/obo/DRON_00011567>	Sodium bitartrate
<http://purl.obolibrary.org/obo/DRON_00011571>	sparfloxacin
<http://purl.obolibrary.org/obo/DRON_00011575>	spirapril
<http://purl.obolibrary.org/obo/DRON_00011589>	Succimer
<http://purl.obolibrary.org/obo/DRON_00011594>	sulfacytine
<http://purl.obolibrary.org/obo/DRON_00011596>	Sulfadoxine
<http://purl.obolibrary.org/obo/DRON_00011599>	Sulfapyridine
<http://purl.obolibrary.org/obo/DRON_00011608>	sultilains
<http://purl.obolibrary.org/obo/DRON_00011610>	talbutal
<http://purl.obolibrary.org/obo/DRON_00011612>	talniflumate
<http://purl.obolibrary.org/obo/DRON_00011615>	Uracil
<http://purl.obolibrary.org/obo/DRON_00011617>	temafloxacin
<http://purl.obolibrary.org/obo/DRON_00011632>	Testolactone
<http://purl.obolibrary.org/obo/DRON_00011634>	Novobiocin
<http://purl.obolibrary.org/obo/DRON_00011638>	tetrazepam
<http://purl.obolibrary.org/obo/DRON_00011652>	Thiethylperazine
<http://purl.obolibrary.org/obo/DRON_00011653>	thiopropazate
<http://purl.obolibrary.org/obo/DRON_00011654>	thioproperazine
<http://purl.obolibrary.org/obo/DRON_00011660>	Thyroglobulin
<http://purl.obolibrary.org/obo/DRON_00011664>	tianeptine
<http://purl.obolibrary.org/obo/DRON_00011665>	tibolone
<http://purl.obolibrary.org/obo/DRON_00011675>	Tolazoline
<http://purl.obolibrary.org/obo/DRON_00011676>	tolcapone
<http://purl.obolibrary.org/obo/DRON_00011680>	Tolmetin
<http://purl.obolibrary.org/obo/DRON_00011686>	tolrestat
<http://purl.obolibrary.org/obo/DRON_00011687>	Toremifene
<http://purl.obolibrary.org/obo/DRON_00011712>	triclofos
<http://purl.obolibrary.org/obo/DRON_00011715>	tridihexethyl
<http://purl.obolibrary.org/obo/DRON_00011716>	Trientine
<http://purl.obolibrary.org/obo/DRON_00011717>	Trifluperidol
<http://purl.obolibrary.org/obo/DRON_00011719>	triflusal
<http://purl.obolibrary.org/obo/DRON_00011723>	trilostane
<http://purl.obolibrary.org/obo/DRON_00011739>	Trioxsalen
<http://purl.obolibrary.org/obo/DRON_00011751>	troglitazone
<http://purl.obolibrary.org/obo/DRON_00011755>	trovafloxacin
<http://purl.obolibrary.org/obo/DRON_00011760>	isopropyl unoprostone
<http://purl.obolibrary.org/obo/DRON_00011761>	Uracil Mustard
<http://purl.obolibrary.org/obo/DRON_00011770>	veralipride
<http://purl.obolibrary.org/obo/DRON_00011781>	vinpocetine
<http://purl.obolibrary.org/obo/DRON_00011784>	Xamoterol
<http://purl.obolibrary.org/obo/DRON_00011800>	zopiclone
<http://purl.obolibrary.org/obo/DRON_00011804>	doxacurium
<http://purl.obolibrary.org/obo/DRON_00011808>	Ethiodized Oil
<http://purl.obolibrary.org/obo/DRON_00011811>	Moricizine
<http://purl.obolibrary.org/obo/DRON_00011812>	Iodamide
<http://purl.obolibrary.org/obo/DRON_00011813>	Methyldopate
<http://purl.obolibrary.org/obo/DRON_00011816>	metocurine
<http://purl.obolibrary.org/obo/DRON_00011818>	phensuximide
<http://purl.obolibrary.org/obo/DRON_00011821>	Trimethadione
<http://purl.obolibrary.org/obo/DRON_00011822>	Tyropanoate
<http://purl.obolibrary.org/obo/DRON_00011823>	varicella-zoster immune globulin
<http://purl.obolibrary.org/obo/DRON_00011824>	Yellow Fever Vaccine
<http://purl.obolibrary.org/obo/DRON_00011828>	s typhi (ty-2 strain)
<http://purl.obolibrary.org/obo/DRON_00011829>	Etidocaine
<http://purl.obolibrary.org/obo/DRON_00011832>	Latrodectus mactans antivenin
<http://purl.obolibrary.org/obo/DRON_00011843>	oxychlorosene
<http://purl.obolibrary.org/obo/DRON_00011850>	MAGNESIUM, CHELATED
<http://purl.obolibrary.org/obo/DRON_00011860>	adiastatic barley malt extract
<http://purl.obolibrary.org/obo/DRON_00011870>	mercuric oxide
<http://purl.obolibrary.org/obo/DRON_00011892>	Levobupivacaine
<http://purl.obolibrary.org/obo/DRON_00011897>	dofetilide
<http://purl.obolibrary.org/obo/DRON_00011907>	Mifepristone
<http://purl.obolibrary.org/obo/DRON_00011910>	Biperiden
<http://purl.obolibrary.org/obo/DRON_00011911>	alglucerase
<http://purl.obolibrary.org/obo/DRON_00011912>	Hydroxyprogesterone
<http://purl.obolibrary.org/obo/DRON_00011913>	Sodium Tetradecyl Sulfate
<http://purl.obolibrary.org/obo/DRON_00011914>	Protamines
<http://purl.obolibrary.org/obo/DRON_00011919>	THONZONIUM
<http://purl.obolibrary.org/obo/DRON_00012026>	Androstenedione
<http://purl.obolibrary.org/obo/DRON_00012051>	Black cohosh root extract
<http://purl.obolibrary.org/obo/DRON_00012053>	Buchu
<http://purl.obolibrary.org/obo/DRON_00012055>	BUTTON MUSHROOM EXTRACT
<http://purl.obolibrary.org/obo/DRON_00012056>	salmon calcitonin
<http://purl.obolibrary.org/obo/DRON_00012065>	Candida albicans
<http://purl.obolibrary.org/obo/DRON_00012069>	carboxypolymethylene
<http://purl.obolibrary.org/obo/DRON_00012075>	Cayenne
<http://purl.obolibrary.org/obo/DRON_00012086>	chaste berry extract
<http://purl.obolibrary.org/obo/DRON_00012093>	CHROMIUM ASPARTATE
<http://purl.obolibrary.org/obo/DRON_00012101>	Creatine
<http://purl.obolibrary.org/obo/DRON_00012102>	Dandelion root extract
<http://purl.obolibrary.org/obo/DRON_00012108>	DIDESMETHYLTOCOTRIENOL
<http://purl.obolibrary.org/obo/DRON_00012116>	ESTROGENIC SUBSTANCES
<http://purl.obolibrary.org/obo/DRON_00012120>	ferumoxsil
<http://purl.obolibrary.org/obo/DRON_00012121>	Fiber
<http://purl.obolibrary.org/obo/DRON_00012123>	fluvastatin
<http://purl.obolibrary.org/obo/DRON_00012124>	Gallamine
<http://purl.obolibrary.org/obo/DRON_00012125>	Garcinia cambogia preparation
<http://purl.obolibrary.org/obo/DRON_00012126>	ginger root
<http://purl.obolibrary.org/obo/DRON_00012132>	grape extract
<http://purl.obolibrary.org/obo/DRON_00012134>	Grapefruit seed extract
<http://purl.obolibrary.org/obo/DRON_00012137>	Haemophilus B Conjugate Vaccine
<http://purl.obolibrary.org/obo/DRON_00012141>	Histoplasmin
<http://purl.obolibrary.org/obo/DRON_00012144>	levocabastine
<http://purl.obolibrary.org/obo/DRON_00012152>	Mephenytoin
<http://purl.obolibrary.org/obo/DRON_00012153>	Methoxamine
<http://purl.obolibrary.org/obo/DRON_00012156>	MITE EXTRACT
<http://purl.obolibrary.org/obo/DRON_00012157>	Mumps skin test antigen
<http://purl.obolibrary.org/obo/DRON_00012168>	"1-octacosanol"
<http://purl.obolibrary.org/obo/DRON_00012169>	Oprelvekin
<http://purl.obolibrary.org/obo/DRON_00012171>	palivizumab
