?ingredient	?ingLab
<http://purl.obolibrary.org/obo/DRON_00015925>	Estriol
<http://purl.obolibrary.org/obo/DRON_00013659>	quinestradol
<http://purl.obolibrary.org/obo/DRON_00011484>	Quinestrol
<http://purl.obolibrary.org/obo/DRON_00013863>	Thyrotropin-Releasing Hormone
<http://purl.obolibrary.org/obo/DRON_00015398>	Natamycin
<http://purl.obolibrary.org/obo/DRON_00010688>	Emepronium
<http://purl.obolibrary.org/obo/DRON_00013662>	terodiline
<http://purl.obolibrary.org/obo/DRON_00017083>	Ferrous glycine sulfate
<http://purl.obolibrary.org/obo/DRON_00017761>	calcium lactate
<http://purl.obolibrary.org/obo/DRON_00016887>	CHYMOTRYPSIN
<http://purl.obolibrary.org/obo/DRON_00014098>	Papaveretum
<http://purl.obolibrary.org/obo/DRON_00014060>	Rauwolfia Alkaloids
<http://purl.obolibrary.org/obo/DRON_00017153>	Levamisole
<http://purl.obolibrary.org/obo/DRON_00016263>	hydrotalcite
<http://purl.obolibrary.org/obo/DRON_00013985>	pipenzolate
<http://purl.obolibrary.org/obo/DRON_00011400>	poldine
<http://purl.obolibrary.org/obo/DRON_00015789>	alverine
<http://purl.obolibrary.org/obo/DRON_00013024>	lanatoside C
<http://purl.obolibrary.org/obo/DRON_00015696>	Mefruside
<http://purl.obolibrary.org/obo/DRON_00015993>	Xipamide
<http://purl.obolibrary.org/obo/DRON_00015685>	piretanide
<http://purl.obolibrary.org/obo/DRON_00015693>	benzthiazide
<http://purl.obolibrary.org/obo/DRON_00016077>	Triamterene
<http://purl.obolibrary.org/obo/DRON_00017941>	Hydrochlorothiazide
<http://purl.obolibrary.org/obo/DRON_00016717>	Isosorbide
<http://purl.obolibrary.org/obo/DRON_00016631>	pentaerythritol
<http://purl.obolibrary.org/obo/DRON_00010788>	flosequinan
<http://purl.obolibrary.org/obo/DRON_00016708>	Cinnarizine
<http://purl.obolibrary.org/obo/DRON_00014100>	nicofuranose
<http://purl.obolibrary.org/obo/DRON_00014068>	Moxisylyte
<http://purl.obolibrary.org/obo/DRON_00015457>	Oxerutins
<http://purl.obolibrary.org/obo/DRON_00011310>	Phenindione
<http://purl.obolibrary.org/obo/DRON_00015976>	Tranexamic Acid
<http://purl.obolibrary.org/obo/DRON_00010490>	ciprofibrate
<http://purl.obolibrary.org/obo/DRON_00017464>	pirbuterol
<http://purl.obolibrary.org/obo/DRON_00010261>	bambuterol
<http://purl.obolibrary.org/obo/DRON_00017103>	Dimethindene
<http://purl.obolibrary.org/obo/DRON_00017137>	mequitazine
<http://purl.obolibrary.org/obo/DRON_00015563>	oxatomide
<http://purl.obolibrary.org/obo/DRON_00015243>	mecysteine
<http://purl.obolibrary.org/obo/DRON_00010798>	Flunitrazepam
<http://purl.obolibrary.org/obo/DRON_00013980>	Temazepam
<http://purl.obolibrary.org/obo/DRON_00015799>	Bromazepam
<http://purl.obolibrary.org/obo/DRON_00013645>	cyclobarbital
<http://purl.obolibrary.org/obo/DRON_00013646>	oxypertine
<http://purl.obolibrary.org/obo/DRON_00015266>	periciazine
<http://purl.obolibrary.org/obo/DRON_00011376>	Pimozide
<http://purl.obolibrary.org/obo/DRON_00010126>	Isocarboxazid
<http://purl.obolibrary.org/obo/DRON_00013858>	Pemoline
<http://purl.obolibrary.org/obo/DRON_00014515>	BETAHISTINE
<http://purl.obolibrary.org/obo/DRON_00018242>	Ondansetron
<http://purl.obolibrary.org/obo/DRON_00017098>	Cyclizine
<http://purl.obolibrary.org/obo/DRON_00012626>	dipipanone
<http://purl.obolibrary.org/obo/DRON_00015525>	Phenazocine
<http://purl.obolibrary.org/obo/DRON_00011389>	Piracetam
<http://purl.obolibrary.org/obo/DRON_00013998>	methixene
<http://purl.obolibrary.org/obo/DRON_00010975>	lofexidine
<http://purl.obolibrary.org/obo/DRON_00014063>	Amdinocillin Pivoxil
<http://purl.obolibrary.org/obo/DRON_00014064>	Pivampicillin
<http://purl.obolibrary.org/obo/DRON_00010407>	Carbenicillin
<http://purl.obolibrary.org/obo/DRON_00011511>	rosoxacin
<http://purl.obolibrary.org/obo/DRON_00015364>	Sulfalene
<http://purl.obolibrary.org/obo/DRON_00013973>	Diloxanide
<http://purl.obolibrary.org/obo/DRON_00010157>	Albendazole
<http://purl.obolibrary.org/obo/DRON_00012637>	gliquidone
<http://purl.obolibrary.org/obo/DRON_00010409>	Carbimazole
<http://purl.obolibrary.org/obo/DRON_00013663>	Stanozolol
<http://purl.obolibrary.org/obo/DRON_00014051>	Cyclofenil
<http://purl.obolibrary.org/obo/DRON_00011723>	trilostane
<http://purl.obolibrary.org/obo/DRON_00018234>	Povidone-Iodine
<http://purl.obolibrary.org/obo/DRON_00014909>	ethynodiol
<http://purl.obolibrary.org/obo/DRON_00013859>	Mitobronitol
<http://purl.obolibrary.org/obo/DRON_00013016>	treosulfan
<http://purl.obolibrary.org/obo/DRON_00013860>	razoxane
<http://purl.obolibrary.org/obo/DRON_00018251>	Ferrous fumarate
<http://purl.obolibrary.org/obo/DRON_00018131>	ferrous sulfate
<http://purl.obolibrary.org/obo/DRON_00016651>	ferrous gluconate
<http://purl.obolibrary.org/obo/DRON_00017788>	Calcium Gluconate
<http://purl.obolibrary.org/obo/DRON_00013867>	Durapatite
<http://purl.obolibrary.org/obo/DRON_00011716>	Trientine
<http://purl.obolibrary.org/obo/DRON_00016406>	Salsalate
<http://purl.obolibrary.org/obo/DRON_00010751>	fenbufen
<http://purl.obolibrary.org/obo/DRON_00014341>	acemetacin
<http://purl.obolibrary.org/obo/DRON_00015902>	tenoxicam
<http://purl.obolibrary.org/obo/DRON_00012647>	Meptazinol
<http://purl.obolibrary.org/obo/DRON_00011401>	Poloxamer 188
<http://purl.obolibrary.org/obo/DRON_00016751>	danthron
<http://purl.obolibrary.org/obo/DRON_00017071>	Carbocysteine
<http://purl.obolibrary.org/obo/DRON_00015735>	Nitrazepam
<http://purl.obolibrary.org/obo/DRON_00011617>	temafloxacin
<http://purl.obolibrary.org/obo/DRON_00015896>	ferrous succinate
<http://purl.obolibrary.org/obo/DRON_00010944>	lacidipine
<http://purl.obolibrary.org/obo/DRON_00017052>	Terfenadine
<http://purl.obolibrary.org/obo/DRON_00010153>	acrivastine
<http://purl.obolibrary.org/obo/DRON_00010507>	clobazam
<http://purl.obolibrary.org/obo/DRON_00015867>	Sulpiride
<http://purl.obolibrary.org/obo/DRON_00011665>	tibolone
<http://purl.obolibrary.org/obo/DRON_00014001>	Alfacalcidol
<http://purl.obolibrary.org/obo/DRON_00011289>	Penicillamine
<http://purl.obolibrary.org/obo/DRON_00013467>	Auranofin
<http://purl.obolibrary.org/obo/DRON_00013966>	Mesna
<http://purl.obolibrary.org/obo/DRON_00017169>	Spiramycin
<http://purl.obolibrary.org/obo/DRON_00010443>	Celiprolol
<http://purl.obolibrary.org/obo/DRON_00015071>	Oxprenolol
<http://purl.obolibrary.org/obo/DRON_00013305>	aceclofenac
<http://purl.obolibrary.org/obo/DRON_00016419>	meloxicam
<http://purl.obolibrary.org/obo/DRON_00017749>	dihydrocodeine
<http://purl.obolibrary.org/obo/DRON_00011545>	sertindole
<http://purl.obolibrary.org/obo/DRON_00011800>	zopiclone
<http://purl.obolibrary.org/obo/DRON_00014085>	fosfestrol
<http://purl.obolibrary.org/obo/DRON_00015961>	tolfenamic acid
<http://purl.obolibrary.org/obo/DRON_00017695>	valsartan
<http://purl.obolibrary.org/obo/DRON_00010566>	deflazacort
<http://purl.obolibrary.org/obo/DRON_00014087>	reboxetine
<http://purl.obolibrary.org/obo/DRON_00013598>	lercanidipine
<http://purl.obolibrary.org/obo/DRON_00014319>	Amisulpride
<http://purl.obolibrary.org/obo/DRON_00017860>	Domperidone
<http://purl.obolibrary.org/obo/DRON_00015354>	mizolastine
<http://purl.obolibrary.org/obo/DRON_00014307>	acetohydroxamic acid
<http://purl.obolibrary.org/obo/DRON_00010174>	Altretamine
<http://purl.obolibrary.org/obo/DRON_00010083>	Aminoglutethimide
<http://purl.obolibrary.org/obo/DRON_00010087>	anisindione
<http://purl.obolibrary.org/obo/DRON_00017043>	Astemizole
<http://purl.obolibrary.org/obo/DRON_00010251>	Atovaquone
<http://purl.obolibrary.org/obo/DRON_00017107>	azatadine
<http://purl.obolibrary.org/obo/DRON_00010260>	bacampicillin
<http://purl.obolibrary.org/obo/DRON_00013005>	Busulfan
<http://purl.obolibrary.org/obo/DRON_00016213>	Calcifediol
<http://purl.obolibrary.org/obo/DRON_00017900>	Cefixime
<http://purl.obolibrary.org/obo/DRON_00014630>	Chlorambucil
<http://purl.obolibrary.org/obo/DRON_00014637>	Chlormezanone
<http://purl.obolibrary.org/obo/DRON_00014642>	Chlorotrianisene
<http://purl.obolibrary.org/obo/DRON_00018204>	Guaifenesin
<http://purl.obolibrary.org/obo/DRON_00017685>	Phenylpropanolamine
<http://purl.obolibrary.org/obo/DRON_00012569>	phenindamine
<http://purl.obolibrary.org/obo/DRON_00017763>	Methscopolamine
<http://purl.obolibrary.org/obo/DRON_00010488>	Cinoxacin
<http://purl.obolibrary.org/obo/DRON_00010513>	Clofazimine
<http://purl.obolibrary.org/obo/DRON_00010574>	deserpidine
<http://purl.obolibrary.org/obo/DRON_00010601>	Dichlorphenamide
<http://purl.obolibrary.org/obo/DRON_00015853>	Dicumarol
<http://purl.obolibrary.org/obo/DRON_00010619>	Dihydrotachysterol
<http://purl.obolibrary.org/obo/DRON_00015048>	Deanol
<http://purl.obolibrary.org/obo/DRON_00017201>	Tetrahydrocannabinol
<http://purl.obolibrary.org/obo/DRON_00010692>	Enoxacin
<http://purl.obolibrary.org/obo/DRON_00014872>	Estrogens, Conjugated (USP)
<http://purl.obolibrary.org/obo/DRON_00014151>	Estrogens, Esterified (USP)
<http://purl.obolibrary.org/obo/DRON_00012497>	ethaverine
<http://purl.obolibrary.org/obo/DRON_00012430>	Ethchlorvynol
<http://purl.obolibrary.org/obo/DRON_00010724>	Ethotoin
<http://purl.obolibrary.org/obo/DRON_00010744>	Etretinate
<http://purl.obolibrary.org/obo/DRON_00010756>	Fenfluramine
<http://purl.obolibrary.org/obo/DRON_00014985>	Furazolidone
<http://purl.obolibrary.org/obo/DRON_00017840>	Glycopyrrolate
<http://purl.obolibrary.org/obo/DRON_00010855>	Guanabenz
<http://purl.obolibrary.org/obo/DRON_00017687>	Guanfacine
<http://purl.obolibrary.org/obo/DRON_00010861>	halazepam
<http://purl.obolibrary.org/obo/DRON_00016705>	Hydroflumethiazide
<http://purl.obolibrary.org/obo/DRON_00015111>	Indapamide
<http://purl.obolibrary.org/obo/DRON_00018092>	Iodoquinol
<http://purl.obolibrary.org/obo/DRON_00012645>	Isradipine
<http://purl.obolibrary.org/obo/DRON_00010979>	Lomustine
<http://purl.obolibrary.org/obo/DRON_00010983>	loracarbef
<http://purl.obolibrary.org/obo/DRON_00017842>	Magnesium Salicylate
<http://purl.obolibrary.org/obo/DRON_00017521>	phenyltoloxamine
<http://purl.obolibrary.org/obo/DRON_00015970>	Mazindol
<http://purl.obolibrary.org/obo/DRON_00017027>	Mepenzolate
<http://purl.obolibrary.org/obo/DRON_00012152>	Mephenytoin
<http://purl.obolibrary.org/obo/DRON_00016626>	Meprobamate
<http://purl.obolibrary.org/obo/DRON_00011063>	metaxalone
<http://purl.obolibrary.org/obo/DRON_00011070>	Methazolamide
<http://purl.obolibrary.org/obo/DRON_00015318>	Methocarbamol
<http://purl.obolibrary.org/obo/DRON_00014318>	Methoxsalen
<http://purl.obolibrary.org/obo/DRON_00011089>	methsuximide
<http://purl.obolibrary.org/obo/DRON_00015988>	Methyclothiazide
<http://purl.obolibrary.org/obo/DRON_00015324>	Methysergide
<http://purl.obolibrary.org/obo/DRON_00015990>	Metolazone
<http://purl.obolibrary.org/obo/DRON_00018779>	Metyrosine
<http://purl.obolibrary.org/obo/DRON_00012455>	Mitotane
<http://purl.obolibrary.org/obo/DRON_00015957>	Niclosamide
<http://purl.obolibrary.org/obo/DRON_00016130>	Nizatidine
<http://purl.obolibrary.org/obo/DRON_00016670>	Mestranol
<http://purl.obolibrary.org/obo/DRON_00012463>	paramethadione
<http://purl.obolibrary.org/obo/DRON_00018086>	Pheniramine
<http://purl.obolibrary.org/obo/DRON_00015655>	Polythiazide
<http://purl.obolibrary.org/obo/DRON_00018176>	potassium citrate
<http://purl.obolibrary.org/obo/DRON_00015645>	potassium perchlorate
<http://purl.obolibrary.org/obo/DRON_00011431>	Probucol
<http://purl.obolibrary.org/obo/DRON_00014428>	Probenecid
<http://purl.obolibrary.org/obo/DRON_00012673>	Propantheline
<http://purl.obolibrary.org/obo/DRON_00011480>	quazepam
<http://purl.obolibrary.org/obo/DRON_00016707>	Rauwolfia preparation
<http://purl.obolibrary.org/obo/DRON_00011501>	Rifabutin
<http://purl.obolibrary.org/obo/DRON_00011589>	Succimer
<http://purl.obolibrary.org/obo/DRON_00011596>	Sulfadoxine
<http://purl.obolibrary.org/obo/DRON_00015855>	Sulfamethizole
<http://purl.obolibrary.org/obo/DRON_00011632>	Testolactone
<http://purl.obolibrary.org/obo/DRON_00012953>	thyroid (USP)
<http://purl.obolibrary.org/obo/DRON_00013996>	tiopronin
<http://purl.obolibrary.org/obo/DRON_00014059>	Tocainide
<http://purl.obolibrary.org/obo/DRON_00012482>	Tolazamide
<http://purl.obolibrary.org/obo/DRON_00011680>	Tolmetin
<http://purl.obolibrary.org/obo/DRON_00014441>	Trichlormethiazide
<http://purl.obolibrary.org/obo/DRON_00011821>	Trimethadione
<http://purl.obolibrary.org/obo/DRON_00011739>	Trioxsalen
<http://purl.obolibrary.org/obo/DRON_00016038>	Troleandomycin
<http://purl.obolibrary.org/obo/DRON_00011761>	Uracil Mustard
<http://purl.obolibrary.org/obo/DRON_00010749>	felbamate
<http://purl.obolibrary.org/obo/DRON_00013004>	torsemide
<http://purl.obolibrary.org/obo/DRON_00017590>	pamabrom
<http://purl.obolibrary.org/obo/DRON_00020201>	Alfalfa preparation
<http://purl.obolibrary.org/obo/DRON_00015363>	attapulgite
<http://purl.obolibrary.org/obo/DRON_00017499>	Bee pollen
<http://purl.obolibrary.org/obo/DRON_00015577>	bismuth subgallate
<http://purl.obolibrary.org/obo/DRON_00010335>	Bran
<http://purl.obolibrary.org/obo/DRON_00012928>	Saccharomyces cerevisiae
<http://purl.obolibrary.org/obo/DRON_00012053>	Buchu
<http://purl.obolibrary.org/obo/DRON_00018175>	Calcium Citrate
<http://purl.obolibrary.org/obo/DRON_00017066>	Calcium iodide
<http://purl.obolibrary.org/obo/DRON_00017846>	calcium phosphate
<http://purl.obolibrary.org/obo/DRON_00012411>	Charcoal
<http://purl.obolibrary.org/obo/DRON_00020102>	Garlic preparation
<http://purl.obolibrary.org/obo/DRON_00012235>	Gelatin
<http://purl.obolibrary.org/obo/DRON_00018889>	Ginseng Preparation
<http://purl.obolibrary.org/obo/DRON_00016602>	Lactase
<http://purl.obolibrary.org/obo/DRON_00018284>	Pancreatin
<http://purl.obolibrary.org/obo/DRON_00012174>	Peppermint preparation
<http://purl.obolibrary.org/obo/DRON_00012179>	placebo
<http://purl.obolibrary.org/obo/DRON_00018385>	Plum Preparation
<http://purl.obolibrary.org/obo/DRON_00018253>	Polysaccharide iron complex
<http://purl.obolibrary.org/obo/DRON_00015612>	Potassium Aspartate
<http://purl.obolibrary.org/obo/DRON_00016321>	Psyllium
<http://purl.obolibrary.org/obo/DRON_00018143>	Simethicone
<http://purl.obolibrary.org/obo/DRON_00012722>	SOY LECITHIN
<http://purl.obolibrary.org/obo/DRON_00017800>	Zinc Gluconate
<http://purl.obolibrary.org/obo/DRON_00017962>	OAT BRAN
<http://purl.obolibrary.org/obo/DRON_00010495>	Citrulline
<http://purl.obolibrary.org/obo/DRON_00018269>	CHROMIUM, CHELATED
<http://purl.obolibrary.org/obo/DRON_00015206>	Aspartic Acid
<http://purl.obolibrary.org/obo/DRON_00017988>	Histidine
<http://purl.obolibrary.org/obo/DRON_00017989>	Isoleucine
<http://purl.obolibrary.org/obo/DRON_00017867>	Proline
<http://purl.obolibrary.org/obo/DRON_00017868>	Serine
<http://purl.obolibrary.org/obo/DRON_00017497>	chlorophyllin copper complex
<http://purl.obolibrary.org/obo/DRON_00015258>	Magnesium lactate
<http://purl.obolibrary.org/obo/DRON_00015031>	Shark cartilage extract
<http://purl.obolibrary.org/obo/DRON_00017863>	Alanine
<http://purl.obolibrary.org/obo/DRON_00014745>	Cystine
<http://purl.obolibrary.org/obo/DRON_00011850>	MAGNESIUM, CHELATED
<http://purl.obolibrary.org/obo/DRON_00012093>	CHROMIUM ASPARTATE
<http://purl.obolibrary.org/obo/DRON_00011013>	MANGANESE ASPARTATE
<http://purl.obolibrary.org/obo/DRON_00012230>	ZINC ASPARTATE
<http://purl.obolibrary.org/obo/DRON_00018040>	ZINC PICOLINATE
<http://purl.obolibrary.org/obo/DRON_00012232>	ZINC, CHELATED
<http://purl.obolibrary.org/obo/DRON_00018744>	Calcium Aspartate
<http://purl.obolibrary.org/obo/DRON_00017806>	Magnesium Aspartate
<http://purl.obolibrary.org/obo/DRON_00013779>	mycophenolate mofetil
<http://purl.obolibrary.org/obo/DRON_00012168>	"1-octacosanol"
<http://purl.obolibrary.org/obo/DRON_00016790>	Ginkgo biloba extract
<http://purl.obolibrary.org/obo/DRON_00017173>	Floxacillin
<http://purl.obolibrary.org/obo/DRON_00018267>	MANGANESE GLUCONATE
<http://purl.obolibrary.org/obo/DRON_00018049>	Copper Gluconate
<http://purl.obolibrary.org/obo/DRON_00017854>	Pyrantel
<http://purl.obolibrary.org/obo/DRON_00017772>	Lamivudine
<http://purl.obolibrary.org/obo/DRON_00017718>	valerian root extract
<http://purl.obolibrary.org/obo/DRON_00011505>	Riluzole
<http://purl.obolibrary.org/obo/DRON_00018283>	Bromelains
<http://purl.obolibrary.org/obo/DRON_00013557>	bis(carboxyethyl)germanium sesquioxide
<http://purl.obolibrary.org/obo/DRON_00018160>	alginic acid
<http://purl.obolibrary.org/obo/DRON_00011253>	Oxymetholone
<http://purl.obolibrary.org/obo/DRON_00018166>	Linseed Oil
<http://purl.obolibrary.org/obo/DRON_00010583>	Dexfenfluramine
<http://purl.obolibrary.org/obo/DRON_00016394>	trandolapril
<http://purl.obolibrary.org/obo/DRON_00016766>	Golden seal root
<http://purl.obolibrary.org/obo/DRON_00016989>	phenylbutyrate
<http://purl.obolibrary.org/obo/DRON_00017985>	sennosides, USP
<http://purl.obolibrary.org/obo/DRON_00018005>	Nevirapine
<http://purl.obolibrary.org/obo/DRON_00017060>	Bromhexine
<http://purl.obolibrary.org/obo/DRON_00013808>	Cyproterone
<http://purl.obolibrary.org/obo/DRON_00013857>	distigmine
<http://purl.obolibrary.org/obo/DRON_00015012>	Dothiepin
<http://purl.obolibrary.org/obo/DRON_00011110>	Mianserin
<http://purl.obolibrary.org/obo/DRON_00011120>	Moclobemide
<http://purl.obolibrary.org/obo/DRON_00016704>	Pentosan Polysulfate
<http://purl.obolibrary.org/obo/DRON_00011301>	Perhexiline
<http://purl.obolibrary.org/obo/DRON_00011513>	Roxithromycin
<http://purl.obolibrary.org/obo/DRON_00012978>	Vigabatrin
<http://purl.obolibrary.org/obo/DRON_00016834>	Belladonna Alkaloids
<http://purl.obolibrary.org/obo/DRON_00016259>	Benserazide
<http://purl.obolibrary.org/obo/DRON_00016051>	coumarin
<http://purl.obolibrary.org/obo/DRON_00017616>	Evening primrose oil
<http://purl.obolibrary.org/obo/DRON_00010828>	Gestrinone
<http://purl.obolibrary.org/obo/DRON_00015237>	mebeverine
<http://purl.obolibrary.org/obo/DRON_00011023>	mebhydroline
<http://purl.obolibrary.org/obo/DRON_00011061>	Mesterolone
<http://purl.obolibrary.org/obo/DRON_00011074>	Methenolone
<http://purl.obolibrary.org/obo/DRON_00012215>	sulthiame
<http://purl.obolibrary.org/obo/DRON_00013946>	Tetrabenazine
<http://purl.obolibrary.org/obo/DRON_00012224>	tropisetron
<http://purl.obolibrary.org/obo/DRON_00017005>	Pyridostigmine
<http://purl.obolibrary.org/obo/DRON_00017758>	Trimeprazine
<http://purl.obolibrary.org/obo/DRON_00017498>	royal jelly
<http://purl.obolibrary.org/obo/DRON_00016786>	Echinacea Preparation
<http://purl.obolibrary.org/obo/DRON_00011189>	nilutamide
<http://purl.obolibrary.org/obo/DRON_00012592>	acipimox
<http://purl.obolibrary.org/obo/DRON_00013468>	Acitretin
<http://purl.obolibrary.org/obo/DRON_00010301>	Bezafibrate
<http://purl.obolibrary.org/obo/DRON_00016855>	bismuth subcitrate
<http://purl.obolibrary.org/obo/DRON_00010483>	Cilazapril
<http://purl.obolibrary.org/obo/DRON_00013013>	Clodronic Acid
<http://purl.obolibrary.org/obo/DRON_00015695>	Clopamide
<http://purl.obolibrary.org/obo/DRON_00011249>	Cyclopenthiazide
<http://purl.obolibrary.org/obo/DRON_00016410>	Dinoprostone
<http://purl.obolibrary.org/obo/DRON_00014865>	Dydrogesterone
<http://purl.obolibrary.org/obo/DRON_00016203>	Flecainide
<http://purl.obolibrary.org/obo/DRON_00012994>	Fleroxacin
<http://purl.obolibrary.org/obo/DRON_00010986>	lormetazepam
<http://purl.obolibrary.org/obo/DRON_00011064>	Metergoline
<http://purl.obolibrary.org/obo/DRON_00015113>	Methotrimeprazine
<http://purl.obolibrary.org/obo/DRON_00011108>	Metyrapone
<http://purl.obolibrary.org/obo/DRON_00017834>	Midazolam
<http://purl.obolibrary.org/obo/DRON_00015388>	Nefopam
<http://purl.obolibrary.org/obo/DRON_00011177>	Nicorandil
<http://purl.obolibrary.org/obo/DRON_00017158>	Nimorazole
<http://purl.obolibrary.org/obo/DRON_00013011>	Ornidazole
<http://purl.obolibrary.org/obo/DRON_00011490>	Pirenzepine
<http://purl.obolibrary.org/obo/DRON_00012220>	Thiothixene
<http://purl.obolibrary.org/obo/DRON_00014158>	Gliclazide
<http://purl.obolibrary.org/obo/DRON_00018239>	Cranberry preparation
<http://purl.obolibrary.org/obo/DRON_00018774>	Spirulina
<http://purl.obolibrary.org/obo/DRON_00013555>	chromium nicotinic acid complex
<http://purl.obolibrary.org/obo/DRON_00012101>	Creatine
<http://purl.obolibrary.org/obo/DRON_00016895>	zileuton
<http://purl.obolibrary.org/obo/DRON_00018205>	salmon oil
<http://purl.obolibrary.org/obo/DRON_00014396>	Alprenolol
<http://purl.obolibrary.org/obo/DRON_00012193>	Proscillaridin
<http://purl.obolibrary.org/obo/DRON_00011751>	troglitazone
<http://purl.obolibrary.org/obo/DRON_00011571>	sparfloxacin
<http://purl.obolibrary.org/obo/DRON_00012125>	Garcinia cambogia preparation
<http://purl.obolibrary.org/obo/DRON_00012226>	vanadyl sulfate
<http://purl.obolibrary.org/obo/DRON_00012940>	dicalcium phosphate
<http://purl.obolibrary.org/obo/DRON_00018360>	Cabbage preparation
<http://purl.obolibrary.org/obo/DRON_00013909>	Squalene
<http://purl.obolibrary.org/obo/DRON_00012191>	Pregnenolone
<http://purl.obolibrary.org/obo/DRON_00010124>	irbesartan
<http://purl.obolibrary.org/obo/DRON_00010845>	grepafloxacin
<http://purl.obolibrary.org/obo/DRON_00016171>	Saquinavir
<http://purl.obolibrary.org/obo/DRON_00012108>	DIDESMETHYLTOCOTRIENOL
<http://purl.obolibrary.org/obo/DRON_00017618>	borage oil
<http://purl.obolibrary.org/obo/DRON_00017643>	ST. JOHN'S WORT EXTRACT
<http://purl.obolibrary.org/obo/DRON_00012026>	Androstenedione
<http://purl.obolibrary.org/obo/DRON_00017922>	monofluorophosphate
<http://purl.obolibrary.org/obo/DRON_00016788>	Grape Seed Extract
<http://purl.obolibrary.org/obo/DRON_00012132>	grape extract
<http://purl.obolibrary.org/obo/DRON_00018111>	Licorice
<http://purl.obolibrary.org/obo/DRON_00018177>	Bilberry extract
<http://purl.obolibrary.org/obo/DRON_00012314>	Hawthorn preparation
<http://purl.obolibrary.org/obo/DRON_00014248>	bovine cartilage extract
<http://purl.obolibrary.org/obo/DRON_00014194>	zolmitriptan
<http://purl.obolibrary.org/obo/DRON_00019761>	Ginger extract
<http://purl.obolibrary.org/obo/DRON_00019910>	Soybean preparation
<http://purl.obolibrary.org/obo/DRON_00016802>	chlorophyllin
<http://purl.obolibrary.org/obo/DRON_00018285>	Papain
<http://purl.obolibrary.org/obo/DRON_00011676>	tolcapone
<http://purl.obolibrary.org/obo/DRON_00017472>	repaglinide
<http://purl.obolibrary.org/obo/DRON_00010402>	capecitabine
<http://purl.obolibrary.org/obo/DRON_00013556>	crataegus extract
<http://purl.obolibrary.org/obo/DRON_00018301>	Cat's Claw preparation
<http://purl.obolibrary.org/obo/DRON_00018041>	Saw palmetto extract
<http://purl.obolibrary.org/obo/DRON_00013689>	Passiflora incarnata extract
<http://purl.obolibrary.org/obo/DRON_00012287>	CHAMOMILE FLOWERS
<http://purl.obolibrary.org/obo/DRON_00016796>	pantethine
<http://purl.obolibrary.org/obo/DRON_00015922>	Thalidomide
<http://purl.obolibrary.org/obo/DRON_00018164>	potassium bromide
<http://purl.obolibrary.org/obo/DRON_00017510>	nickel sulfate
<http://purl.obolibrary.org/obo/DRON_00012273>	zinc bromide
